Titulo;Link;Data
Grand National day 2019: news, tips and updates from Aintree – live!;https://www.theguardian.com/sport/live/2019/apr/06/grand-national-day-2019-live;2019-04-06T15:38:44Z
Bayern Munich v Borussia Dortmund: Bundesliga – live!;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live;2019-04-06T15:36:49Z
Bournemouth v Burnley, Newcastle v Crystal Palace and more – live!;https://www.theguardian.com/football/live/2019/apr/06/bournemouth-v-burnley-newcastle-v-crystal-palace-and-more-live;2019-04-06T15:36:19Z
County cricket: Notts v Yorkshire, Somerset v Kent and more – live!;https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live;2019-04-06T15:33:32Z
Brexit: Ireland’s Leo Varadkar says EU27 ‘unlikely’ to veto delay;https://www.theguardian.com/world/2019/apr/06/ireland-taoiseach-leo-varadkar-says-eu27-unlikely-to-veto-delay-to-brexit;2019-04-06T15:22:52Z
RAF and Royal Navy urged to cut ties to sultan of Brunei over anti-gay law;https://www.theguardian.com/world/2019/apr/06/oxford-university-navy-raf-must-cut-ties-sultan-brunei-gay-death-stoning-law;2019-04-06T15:06:00Z
Five damaging myths about video games – let’s shoot em up;https://www.theguardian.com/games/2019/apr/06/five-damaging-myths-about-video-games-lets-shoot-em-up;2019-04-06T15:00:54Z
Homecoming is just the start of the challenge for Superdry’s founders;https://www.theguardian.com/business/2019/apr/06/superdry-homecoming-just-start-of-challenge;2019-04-06T15:00:52Z
Mike Ashley: make me Debenhams CEO and I'll back £150m rescue;https://www.theguardian.com/business/2019/apr/06/mike-ashley-make-me-debenhams-ceo-back-150m-rescue;2019-04-06T14:13:14Z
Happy As Lazzaro review – mesmerising magical realism;https://www.theguardian.com/film/2019/apr/06/happy-as-lazzaro-review-alice-rohrwacher;2019-04-06T14:00:52Z
